1000000
0	2L 	0	1000000
1	2L 	999849	1000000
2	2L 	1999698	1000000
3	2L 	2999547	1000000
4	2L 	3999396	1000000
5	2L 	4999245	1000000
6	2L 	5999094	1000000
7	2L 	6998943	1000000
8	2L 	7998792	1000000
9	2L 	8998641	1000000
10	2L 	9998490	1000000
11	2L 	10998339	1000000
12	2L 	11998188	1000000
13	2L 	12998037	1000000
14	2L 	13997886	1000000
15	2L 	14997735	1000000
16	2L 	15997584	1000000
17	2L 	16997433	1000000
18	2L 	17997282	1000000
19	2L 	18997131	1000000
20	2L 	19996980	1000000
21	2L 	20996829	1000000
22	2L 	21996678	1000000
23	2L 	22996527	1000000
24	2L 	22996527	517185
25	2R 	0	1000000
26	2R 	999849	1000000
27	2R 	1999698	1000000
28	2R 	2999547	1000000
29	2R 	3999396	1000000
30	2R 	4999245	1000000
31	2R 	5999094	1000000
32	2R 	6998943	1000000
33	2R 	7998792	1000000
34	2R 	8998641	1000000
35	2R 	9998490	1000000
36	2R 	10998339	1000000
37	2R 	11998188	1000000
38	2R 	12998037	1000000
39	2R 	13997886	1000000
40	2R 	14997735	1000000
41	2R 	15997584	1000000
42	2R 	16997433	1000000
43	2R 	17997282	1000000
44	2R 	18997131	1000000
45	2R 	19996980	1000000
46	2R 	20996829	1000000
47	2R 	21996678	1000000
48	2R 	22996527	1000000
49	2R 	23996376	1000000
50	2R 	24996225	1000000
51	2R 	24996225	290711
52	3L 	0	1000000
53	3L 	999849	1000000
54	3L 	1999698	1000000
55	3L 	2999547	1000000
56	3L 	3999396	1000000
57	3L 	4999245	1000000
58	3L 	5999094	1000000
59	3L 	6998943	1000000
60	3L 	7998792	1000000
61	3L 	8998641	1000000
62	3L 	9998490	1000000
63	3L 	10998339	1000000
64	3L 	11998188	1000000
65	3L 	12998037	1000000
66	3L 	13997886	1000000
67	3L 	14997735	1000000
68	3L 	15997584	1000000
69	3L 	16997433	1000000
70	3L 	17997282	1000000
71	3L 	18997131	1000000
72	3L 	19996980	1000000
73	3L 	20996829	1000000
74	3L 	21996678	1000000
75	3L 	22996527	1000000
76	3L 	23996376	1000000
77	3L 	24996225	1000000
78	3L 	25996074	1000000
79	3L 	26995923	1000000
80	3L 	27995772	1000000
81	3L 	27995772	114455
82	3R 	0	1000000
83	3R 	999849	1000000
84	3R 	1999698	1000000
85	3R 	2999547	1000000
86	3R 	3999396	1000000
87	3R 	4999245	1000000
88	3R 	5999094	1000000
89	3R 	6998943	1000000
90	3R 	7998792	1000000
91	3R 	8998641	1000000
92	3R 	9998490	1000000
93	3R 	10998339	1000000
94	3R 	11998188	1000000
95	3R 	12998037	1000000
96	3R 	13997886	1000000
97	3R 	14997735	1000000
98	3R 	15997584	1000000
99	3R 	16997433	1000000
100	3R 	17997282	1000000
101	3R 	18997131	1000000
102	3R 	19996980	1000000
103	3R 	20996829	1000000
104	3R 	21996678	1000000
105	3R 	22996527	1000000
106	3R 	23996376	1000000
107	3R 	24996225	1000000
108	3R 	25996074	1000000
109	3R 	26995923	1000000
110	3R 	27995772	1000000
111	3R 	28995621	1000000
112	3R 	29995470	1000000
113	3R 	30995319	1000000
114	3R 	31995168	1000000
115	3R 	31995168	84163
116	4 	0	1000000
117	4 	999849	1000000
118	4 	999849	348282
119	X 	0	1000000
120	X 	999849	1000000
121	X 	1999698	1000000
122	X 	2999547	1000000
123	X 	3999396	1000000
124	X 	4999245	1000000
125	X 	5999094	1000000
126	X 	6998943	1000000
127	X 	7998792	1000000
128	X 	8998641	1000000
129	X 	9998490	1000000
130	X 	10998339	1000000
131	X 	11998188	1000000
132	X 	12998037	1000000
133	X 	13997886	1000000
134	X 	14997735	1000000
135	X 	15997584	1000000
136	X 	16997433	1000000
137	X 	17997282	1000000
138	X 	18997131	1000000
139	X 	19996980	1000000
140	X 	20996829	1000000
141	X 	21996678	1000000
142	X 	22996527	1000000
143	X 	22996527	545744
144	Y 	0	1000000
145	Y 	999849	1000000
146	Y 	1999698	1000000
147	Y 	2999547	1000000
148	Y 	2999547	667805
